City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
355,Zhangjiakou,CN,40.81,114.8794,278.71,29,0,clear sky
356,Bethel,US,41.3712,-73.414,275.64,69,100,overcast clouds
357,Vila Franca Do Campo,PT,37.7167,-25.4333,288.38,86,70,broken clouds
358,Nuuk,GL,64.1835,-51.7216,273.49,59,100,overcast clouds
359,Pevek,RU,69.7008,170.3133,251.2,93,24,few clouds
360,Markovo,RU,57.3206,107.0881,263.78,91,100,light snow
361,Kokstad,ZA,-30.5472,29.4241,285.87,96,43,scattered clouds
362,San Cosme Y Damian,PY,-27.3167,-56.35,297.25,80,0,clear sky
363,Jussara,BR,-23.6214,-52.4694,299.13,74,0,clear sky
364,Tessalit,ML,20.1986,1.0114,299.72,9,52,broken clouds
365,Raudeberg,NO,61.9875,5.1352,280.52,84,100,overcast clouds
366,Areosa,PT,41.7178,-8.8571,286.86,76,100,overcast clouds
367,Bereda,ES,43.2686,-7.5406,285.14,91,100,overcast clouds
368,Inyonga,TZ,-6.7167,32.0667,291.76,93,73,broken clouds
369,Terney,RU,45.0503,136.6092,276.56,61,32,scattered clouds
370,Pontes E Lacerda,BR,-15.2261,-59.3353,295.87,94,24,few clouds
371,Inhambane,MZ,-23.865,35.3833,297.0,83,81,light rain
372,Puurmani,EE,58.5738,26.2878,272.27,90,100,light snow
373,Namatanai,PG,-3.6667,152.4333,301.93,74,80,light rain
374,Warri,NG,5.5167,5.75,299.06,89,27,scattered clouds
375,Matadi,CD,-5.8167,13.45,298.18,97,95,overcast clouds
376,Faanui,PF,-16.4833,-151.75,301.3,70,95,light rain
377,Monrovia,LR,6.3005,-10.7969,299.52,89,86,overcast clouds
378,Birao,CF,10.2849,22.7882,297.53,10,16,few clouds
379,Port Hardy,CA,50.6996,-127.4199,282.25,93,100,light rain
380,Trapani,IT,37.8333,12.6667,285.87,87,0,clear sky
381,Inirida,CO,3.8653,-67.9239,296.51,96,90,light rain
382,Cutro,IT,39.0353,16.9819,284.07,86,100,light rain
383,Gorontalo,ID,0.5412,123.0595,301.66,73,97,overcast clouds
384,Bom Jesus,BR,-9.0744,-44.3586,296.45,85,99,overcast clouds
385,Mehamn,NO,71.0357,27.8492,267.44,82,100,light snow
386,Tulun,RU,54.5611,100.5792,262.54,94,81,broken clouds
